,label,data,x,y
0,1,setback government supreme court examine stolen rafale papers,-0.6408249892031928,-0.4165078720510722
1,1,supreme court verdict centres preliminary objection rafale review pleas tomorrow,-0.5936424073504711,-0.4324477697465756
2,0,rafale deal sc dismisses centre objections stolen documents,-0.5414950634068939,-0.5408105536067973
3,0,classified rafale papers used evidence supreme court decides today,-0.512352960107626,-0.46609271764422505
4,2,rafale review verdict supreme court april,-0.5533897305039062,-0.38325055891863263
5,3,congress may scared take call jk imran khan says chance peace talks better bjp wins polls,-0.27570541598032267,0.4198787611614105
6,4,congress may scared take call jk imran khan says chance peace talks better bjp,-0.3204691750429617,0.45966151006687317
7,3,lok sabha elections nda win slim majority poll polls shows,0.05764159363891257,0.1583799183053661
8,4,poll panel seeks details pm modi balakot strike remarks report,0.07694456248284688,-0.06035527492378081
9,4,opinion hoping narendra modi elected prime minister second term,0.00888224345458409,0.030485956126900013
10,3,alexa win election,0.11822159985154869,0.4240514067814552
11,1,bjp says ec take charge security chhattisgarh,-0.3937539132923385,0.41421631877391957
12,1,bhima mandavi bjp legislator dantewada among killed maoists,0.42123198466943373,0.17960899622453258
13,4,deeply anguishing pm modi condemns chhattisgarh attack killed,-0.08572491002613646,-0.09735239340978745
14,1,chhattisgarh bjp mla cops killed maoist attack ahead bastar polling,-0.32129757700688294,0.18634488340007344
15,1,bulletproof suv split dantewada maoist attack bjp convoy,-0.5988281930492422,0.3418414245759997
16,4,narendra modis news interview pm defends demonetisation castigates congress welcomes firsttime voters key highlights,0.19916754428165223,0.030069936714930922
17,4,narendra modis news interview pm defends demonetisation castigates congress welcomes firsttime,0.1762614482222658,0.02614535582896546
18,1,lok sabha elections live updates rahul gandhi arrives amethi file nomination,-0.11191555784723735,0.27224909037485695
19,1,election live rahul gandhi file nomination amethi pm modi heads gujarat,-0.09049278874210441,0.2030296250029043
20,4,easynomics congress multiplier bjp multiplier,0.5421796655778168,0.3047075243295261
21,3,bjp congress election manifestos green enough,-0.15588141429134225,0.378314295433729
22,1,rahul gandhi slams modi promise lakhs everyone account,-0.3570294038848689,0.019237418924305385
23,1,lok sabha elections voice isolated man rahul gandhi trashes bjp manifesto,-0.1923509094691778,0.17446189700720918
24,1,rahul gandhi destinys child empty suit,-0.3735517316395242,-0.3226235399566544
25,4,et view narendra modi manifesto,-0.1430343666433498,-0.0032838006895901358
26,1,amit shah slams congress balakot air strike hindu terror,-0.36594736824916557,-0.14893989515056993
27,1,jk rss leader pso shot dead militants kishtwar curfew imposed,-0.18850979552838062,-0.6826785162711955
28,1,suspected terrorists injure rss leader kill security official jammu kashmir,-0.07816268305673794,-0.6761989543745964
29,1,rss leader pso killed terrorist attack kishtwar curfew imposed,-0.15114459766308855,-0.6765745091223927
30,1,rss leader pso shot kishtwar,-0.16658206029696807,-0.7246036784604024
31,5,cant create like situation intimidate hindus jammu kashmir rss calls handing,0.5129150249775386,-0.5753378927612333
32,5,dept seeks legal action karnataka cm hd kumaraswamy dy cm intimidating officers,0.00048504421638520133,-0.30807869343828925
33,1,hd kumaraswamy accused alerting offenders income tax raids,0.7655788857322754,-0.0012381832872909696
34,5,bjp seeks action karnataka cm claims raids,-0.009972790715594987,-0.22318539063664722
35,5,dept seeks legal action karnataka cm deputy cm intimidating officers,-0.027969783538180238,-0.3071491422263189
36,5,department seeks legal action karnataka chief minister h kumaraswamy deputy chief minister g,-0.21140571762366597,-0.13889984236975927
37,0,campaign ends first phase lok sabha poll bengal,0.15363139804688014,-0.18250881914063846
38,1,ec transfers cooch behar sp two days ahead polls,0.48761685376939284,-0.027442462144767445
39,1,cooch behar police chief transferred trinamool says poll body biased,0.342814780075893,-0.0369462423676405
40,4,big news supreme court decide classified rafale documents today top stories,-0.5093855638247242,-0.4322164833591649
41,1,tmc writes letter cec opposing transfer cooch behar police chief,0.4373747217438577,-0.29613596858520436
42,3,election tracker live kamal nath responds bhrasht jibe says bjp man caught raids,-0.2008058223993571,0.507050502024729
43,3,election tracker live lgbt activist harish iyer joins congress weed islamophobia,-0.12227942413733593,0.5750489917107745
44,2,lok sabha elections loyalty vs emerging ground reality smriti irani takes rahul,0.01136821691440761,0.2865978492238563
45,1,make easier rahul gandhis debate questions pm,-0.34160975460258963,0.2867996934680924
46,1,bjps poll manifesto voice isolated man rahul gandhi,-0.25051295422772635,0.09807921676866595
47,1,terrorism poll issue rahul gandhi give spg security sushma swaraj,-0.2617864396206912,-0.1770137240198079
48,4,chandrababu naidu said congress remain anchor party,0.5543893426186065,0.1758720461317032
49,1,repeat possibility chandrababu naidu third front government,-0.766983123587461,0.06989032906722224
50,0,chandrababu naidu battling visionexecution mismatch faceoff jaganmohan reddy,-0.7738302254920438,0.026128128795087285
51,1,manmohan allowed natural growth modi killing destroying leadership naidu,0.45073880624796164,0.09359426300457513
52,1,river tale jagan best chance cross bridge godavari,0.7079163438210311,0.11093086936054566
53,0,kotla jayasurya prakash reddy tried revive cong chance take yrs,-0.6847422375364147,0.3901035917875924
54,3,benjamin netanyahu wife sara announcement exit polls reuters,0.36708477328930256,0.38647595407296076
55,3,israeli pm benjamin netanyahu wins record fifth term office reports,0.2991986507456148,0.2491652118225515
56,3,israeli pm netanyahu wins record fifth term office report,0.29528052388704085,0.22981880752574693
57,3,netanyahu course win israeli election partial results,0.22952816908578313,0.42194254498276124
